Column1,Column2,Column3,Column4,Column5,Column6,Column7
"PSOFNTECH, INC",http://www.psofntech.com,(212) 740-1300,1221 Saint Nicholas Ave,Computer Online ServicesGraphic DesignersComputers & Computer Equipment-Service & Repair,,
Icompunet Inc,http://www.icompunet.com,(212) 461-1019,75 Maiden Ln Ste 335,Computer Service & Repair-BusinessComputers & Computer Equipment-Service & RepairComputer Software & Services,,
TriStateTek,,(212) 748-9290,248 W 35th St Rm 1206,Computer Data RecoveryComputer Service & Repair-BusinessComputers & Computer Equipment-Service & Repair,,
Technology Pros,,(800) 778-5331,20 W 44th St,Computer Data RecoveryComputer Service & Repair-BusinessComputers & Computer Equipment-Service & Repair,,
Little Laptop Shop,http://www.littlelaptopshop.com,(212) 674-3111,7 Clinton St,Computer Service & Repair-BusinessComputer & Equipment DealersComputers & Computer Equipment-Service & Repair,,
D & Q Computer Inc,http://www.dandqcomputer.com/contact,(212) 260-8236,206 Avenue B,Computers & Computer Equipment-Service & Repair,,
Mac Concierge Inc,http://www.macconcierge.com,(212) 533-8222,55 W 21st St,Computer Network Design & SystemsComputer Data RecoveryComputer Technical Assistance & Support Services,,
Pure Logic,http://www.purelogic.com,(212) 675-9800,148 W 24th St,Computers & Computer Equipment-Service & Repair,,
Mac Hattan,http://machattan.com,(212) 242-9393,249 W 34th St,Computer & Equipment DealersComputers & Computer Equipment-Service & Repair,,
Computer Repair NYC,http://www.audiovideonyc.com,(212) 729-4305,519 8th Ave,Computer & Equipment Renting & LeasingComputer System Designers & ConsultantsComputer Service & Repair-Business,,
Precision Discovery,http://precisiondiscovery.com,(212) 292-1161,25 W 45th St Ste 701,Computer & Equipment DealersComputers & Computer Equipment-Service & Repair,,
3 H Technologies,http://www.apple.com,(212) 588-8760,1173 2nd Ave Frnt 1,Computer Network Design & SystemsComputer & Equipment DealersComputer System Designers & Consultants,,
My Computer Tech Inc,http://www.mycomputertechinc.com,(212) 828-1600,400 E 87th St,Computer Service & Repair-BusinessComputer & Equipment DealersComputers & Computer Equipment-Service & Repair,,
Computer Guys,,(212) 288-2416,229 E 84th St Frnt 2,Computers & Computer Equipment-Service & RepairComputer Network Design & SystemsComputer & Equipment Dealers,,
Hitec Computer Repairs,,(212) 374-1008,108 Duane St,Computers & Computer Equipment-Service & Repair,,
Sotis Business Technology,,(646) 289-5902,79 Leonard St,Computers & Computer Equipment-Service & RepairCopy Machines & Supplies,,
Nerd On Demand,http://nerdondemand.com,(646) 801-6373,96 Cedar St,Computer Network Design & SystemsComputer Service & Repair-BusinessComputers & Computer Equipment-Service & Repair,,
Pinnadyne,http://www.pinnadyne.com,(877) 851-5250,30 Broad St,Computer Network Design & SystemsComputer Online ServicesComputer Software & Services,,
Aspeed,,(646) 633-4900,1 Penn Plz,Computers & Computer Equipment-Service & RepairComputer Software Publishers & DevelopersComputer & Equipment Dealers,,
Techknowsphere Solutions Inc,http://transbeam.com,(212) 391-1570,20 W 36th St,Computers & Computer Equipment-Service & Repair,,
Asap Computer Repair Service,,(347) 705-7369,445 9th Ave # 900216,Computer Service & Repair-BusinessComputers & Computer Equipment-Service & Repair,,
Advanced Computer Technologies Inc,http://www.actweb.com,(212) 764-6430,200 Park Ave,Computer & Equipment DealersComputers & Computer Equipment-Service & Repair,,
877TECH Of New York City,,(646) 553-1618,845 3rd Ave Fl 6,Computers & Computer Equipment-Service & Repair,,
Bion Tech,http://biontech.com,(516) 596-5443,641 Lexington Ave,Computers & Computer Equipment-Service & RepairComputer & Equipment Dealers,,
Geek National,http://gicny.com,(212) 488-0001,410 Park Ave,Computers & Computer Equipment-Service & RepairComputer & Equipment Dealers,,
Ibmtss,,(212) 572-2900,909 3rd Ave,Computer-Wholesale & ManufacturersComputers & Computer Equipment-Service & Repair,,
Computer Repair - Geeks Mobile,,(718) 360-9369,310 W 72nd St,Computers & Computer Equipment-Service & RepairComputer Service & Repair-Business,,
Ng Tech Inc,,(212) 396-2088,217 E 85th St,Computers & Computer Equipment-Service & Repair,,
Computer Hospital,https://computer-hospital.com,(212) 568-6767,2087 Amsterdam Ave,Computer Service & Repair-BusinessComputers & Computer Equipment-Service & RepairComputer & Equipment Dealers,,
Geek Choice,http://www.geekchoice.com/New-York,(212) 564-7500,243 W Broadway,Computers & Computer Equipment-Service & Repair,,
Corporate Innovation Technologies,,(212) 498-9992,10 East 40 St,Computer Network Design & SystemsComputer Software & ServicesComputer Technical Assistance & Support Services,,
Miracle Technologies Inc,https://www.miracletechs.com,(646) 237-4472,30 Wall St,Computer Network Design & SystemsComputers & Computer Equipment-Service & RepairComputer Service & Repair-Business,,
Integrate New York,,(855) 254-4396,110 W 40th St Rm 1004,Computer Technical Assistance & Support Services,,
Mac PC NY,,(212) 991-8240,7 Dey St,Computer Software & ServicesComputer Service & Repair-BusinessComputers & Computer Equipment-Service & Repair,,
GreenTech Expert,,(917) 497-7023,,Computer Technical Assistance & Support ServicesComputer Security-Systems & ServicesComputer Network Design & Systems,,
Hello Nerds,https://www.hellonerds.ca,(888) 878-0593,77 Water St 7th Fl,Computer Technical Assistance & Support ServicesComputer Data RecoveryComputers & Computer Equipment-Service & Repair,,
Tecniquo,,(800) 562-5648,41 River Ter,Computer Cable & Wire InstallationComputer Network Design & SystemsComputer Technical Assistance & Support Services,,
Hi-Tech Electronics Camera and Macbook Repair,http://www.newhitech.net,(212) 219-3794,47 Canal st,Television & Radio-Service & RepairElectronic Equipment & Supplies-Repair & ServiceComputers & Computer Equipment-Service & Repair,,
Apple Grand Central,https://www.apple.com/retail/grandcentral?cid=aos-us-seo-maps,(212) 284-1800,45 Grand Central Terminal,Consumer ElectronicsComputers & Computer Equipment-Service & RepairComputer & Equipment Dealers,,
SpeedGeek,http://www.speedgeek.com,(212) 641-0008,20 Vesey Street,Computer Technical Assistance & Support ServicesComputers & Computer Equipment-Service & Repair,,
Cyber Security,http://www.aspiretss.com,(917) 600-9233,380 Lexington Ave,Computer Technical Assistance & Support ServicesComputer Network Design & SystemsComputer & Equipment Dealers,,
NY City Geek,,(212) 537-6835,666 3rd Ave,Computer Service & Repair-BusinessComputers & Computer Equipment-Service & RepairMobile Device Repair,,
Digital Repairs NYC,,(917) 946-6487,736 7th Ave,Electronic Equipment & Supplies-Repair & ServiceComputer Technical Assistance & Support ServicesComputer Service & Repair-Business,,
Computer Troubleshooters,http://www.comptroub.com,(212) 686-1234,132 Madison Ave,Computers & Computer Equipment-Service & RepairComputer & Equipment DealersComputer Software & Services,,
Offshore Computing Service Limited,,(212) 709-8338,67 Wall St,Computer Technical Assistance & Support Services,,
Apple Berry Parts Inc 57 St,,(212) 581-0600,205 W 57th St,Computers & Computer Equipment-Service & RepairInternet Service Providers (ISP)Computer Hardware & Supplies,,
SGU Consulting,http://www.sguconsulting.com,(212) 380-1333,110 W 140th St,Computers & Computer Equipment-Service & RepairComputer Hardware & Supplies,,
Brealcorp,,(917) 677-9810,,Computer Cable & Wire InstallationComputer Network Design & SystemsComputer Data Recovery,,
Data Vision,http://www.datavis.com,(212) 689-1111,225 W 39th St,Computers & Computer Equipment-Service & RepairComputer & Equipment DealersConsumer Electronics,,
LaptopMD - Computer & iPhone Repair,http://www.laptopmd.com,(212) 920-4833,"247 West 38th Street, #602",Computer Data RecoveryComputer Technical Assistance & Support ServicesComputer Service & Repair-Business,,
Geek Squad,http://www.geeksquad.com,(800) 371-6275,529 5th Ave,Computers & Computer Equipment-Service & RepairComputer Network Design & SystemsComputer Technical Assistance & Support Services,,
Atomic Bytes Inc,https://sherlockdatarecovery.com/location,(212) 249-9888,500 E 87th St,Computer Data RecoveryComputer Network Design & SystemsComputers & Computer Equipment-Service & Repair,,
American Copy Machine LTD.,http://www.americancopymachines.com,(212) 244-2727,141 W 28th St Fl 10,Copy Machines & SuppliesComputers & Computer Equipment-Service & RepairOffice Furniture & Equipment-Wholesale & Manufacturers,,
Cybercity,https://www.cybercity.nyc,(212) 633-0649,224 W 30th St,Computers & Computer Equipment-Service & RepairComputer System Designers & Consultants,,
Global Data Publications Inc,https://www.globaldata.com/contact-us,(646) 395-5460,441 Lexington Ave,Computer Technical Assistance & Support ServicesComputer Software & Services,,
New York Computer Help - SOHO,https://www.newyorkcomputerhelp.com,(212) 599-0339,110 Greene St Fl 11,Computers & Computer Equipment-Service & RepairConsumer ElectronicsComputer System Designers & Consultants,,
Promethean IT,,(212) 226-6686,65 Bleecker St,Computer Security-Systems & ServicesComputer Software & ServicesComputer Technical Assistance & Support Services,,
Tech Support 4 NYC,http://www.techsupport4nyc.com,(877) 467-4989,900 Avenue Of The Americas,Computer Network Design & SystemsComputer Service & Repair-BusinessComputers & Computer Equipment-Service & Repair,,
